Gene,Score
8050_at,15.08796256
217_at,15.08660069
29979_at,15.04612255
28657_at,15.04519149
677808_at,15.03540361
100379571_at,15.03078568
22858_at,15.02864497
921_at,15.01875221
28656_at,15.0155059
55332_at,15.01513588
25780_at,15.01346093
100422342_at,15.0131103
919_at,14.99164403
10299_at,14.98387858
204851_at,14.9838702
5036_at,14.94898042
147837_at,14.93464256
3502_at,14.92584771
5450_at,14.91812493
107986115_at,14.91695167
101928126_at,14.90775096
55757_at,14.90129567
116369_at,14.90096755
143689_at,14.89781804
10766_at,14.87639239
79073_at,14.87331069
283663_at,14.87130609
152006_at,14.86676721
2107_at,14.85217934
4697_at,14.85082672
84749_at,14.84370115
100507458_at,14.83880264
595097_at,14.82287994
283710_at,14.80338894
257019_at,14.80129851
54103_at,14.7779902
26123_at,14.77749715
1164_at,14.76422663
7326_at,14.76040901
1019_at,14.75839556
28750_at,14.7546703
7343_at,14.74363521
677781_at,14.73988327
26778_at,14.73926205
640_at,14.7177331
28674_at,14.71277162
677811_at,14.7042637
105369151_at,14.69995301
932_at,14.69867119
8727_at,14.67971258
57463_at,14.67138807
28299_at,14.66919549
441191_at,14.66904817
55643_at,14.63906807
10228_at,14.63618063
7014_at,14.60423019
348378_at,14.60094331
83528_at,14.59861997
50615_at,14.5963343
79078_at,14.58495413
254428_at,14.58081719
4968_at,14.57925469
622_at,14.56546094
85315_at,14.56126757
6296_at,14.56056643
85462_at,14.55815593
158401_at,14.53985271
90488_at,14.53789633
7389_at,14.53029754
28445_at,14.52023438
283603_at,14.50143984
10220_at,14.49689482
3717_at,14.48415343
57343_at,14.47904833
22905_at,14.47669955
100750247_at,14.47070223
79144_at,14.4704935
28682_at,14.46127613
170536_at,14.45874173
131096_at,14.45051956
646463_at,14.44850818
201232_at,14.4341115
729119_at,14.43201413
677776_at,14.43029049
9328_at,14.41538427
4318_at,14.39969976
23643_at,14.39327056
57095_at,14.39303218
128077_at,14.38868694
55796_at,14.3863854
140707_at,14.38473942
4345_at,14.3724798
9049_at,14.3655538
412_at,14.350629
79156_at,14.34013177
9056_at,14.33877962
28690_at,14.32086824
4601_at,14.30346931
607_at,14.30006942
28912_at,14.29882691
55024_at,14.28869468
23231_at,14.25606717
23075_at,14.24407101
55178_at,14.24345147
144983_at,14.24285382
692211_at,14.23275842
65094_at,14.23062249
103156999_at,14.19547348
10248_at,14.19137097
25799_at,14.17835683
28718_at,14.17211774
1512_at,14.16932193
8303_at,14.16159661
254100_at,14.16152202
23305_at,14.15704602
10342_at,14.15488981
950_at,14.14177042
4140_at,14.11719302
344787_at,14.11565415
200185_at,14.10552323
56894_at,14.10064794
760_at,14.09928644
